date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:13:31	6833/6833	---M-Z	200	added ('OK')	text/css	etag:%221ab1-55ac6465bd080%22	https://global.yamaha-motor.com/showroom/papercraft/racing/css/blueimp-gallery.min.css	T:/Site%20Mirror/Yamaha/global.yamaha-motor.com/showroom/papercraft/racing/css/blueimp-gallery.min.css	(from https://global.yamaha-motor.com/showroom/papercraft/racing/)
09:13:31	1469/1469	---M-Z	200	added ('OK')	text/css	etag:%225bd-5330e000d8cc0%22	https://global.yamaha-motor.com/showroom/papercraft/racing/bootstrap/bootstrap-image-gallery/css/bootstrap-image-gallery.min.css	T:/Site%20Mirror/Yamaha/global.yamaha-motor.com/showroom/papercraft/racing/bootstrap/bootstrap-image-gallery/css/bootstrap-image-gallery.min.css	(from https://global.yamaha-motor.com/showroom/papercraft/racing/)
09:13:32	1888/1888	---M-Z	200	added ('OK')	text/css	etag:%22760-5330e001ccf00%22	https://global.yamaha-motor.com/showroom/papercraft/racing/font-icons/custom-icons/css/custom-icons.css	T:/Site%20Mirror/Yamaha/global.yamaha-motor.com/showroom/papercraft/racing/font-icons/custom-icons/css/custom-icons.css	(from https://global.yamaha-motor.com/showroom/papercraft/racing/)
09:13:33	829/829	---M-Z	200	added ('OK')	text/css	etag:%2233d-5330e001ccf00%22	https://global.yamaha-motor.com/showroom/papercraft/racing/font-icons/custom-icons/css/custom-icons-ie7.css	T:/Site%20Mirror/Yamaha/global.yamaha-motor.com/showroom/papercraft/racing/font-icons/custom-icons/css/custom-icons-ie7.css	(from https://global.yamaha-motor.com/showroom/papercraft/racing/)
09:13:33	11715/11715	---M-Z	200	added ('OK')	text/css	etag:%222dc3-5330e001ccf00%22	https://global.yamaha-motor.com/showroom/papercraft/racing/css/layout.css	T:/Site%20Mirror/Yamaha/global.yamaha-motor.com/showroom/papercraft/racing/css/layout.css	(from https://global.yamaha-motor.com/showroom/papercraft/racing/)
09:13:33	12490/12490	---M-Z	200	added ('OK')	text/css	etag:%2230ca-54222f4076580%22	https://global.yamaha-motor.com/showroom/papercraft/racing/css/colors.css?v=2	T:/Site%20Mirror/Yamaha/global.yamaha-motor.com/showroom/papercraft/racing/css/colors5e1f.css	(from https://global.yamaha-motor.com/showroom/papercraft/racing/)
09:13:34	963/963	---M-Z	200	added ('OK')	text/css	etag:%223c3-5422fca457900%22	https://global.yamaha-motor.com/showroom/papercraft/racing/css/sns.css	T:/Site%20Mirror/Yamaha/global.yamaha-motor.com/showroom/papercraft/racing/css/sns.css	(from https://global.yamaha-motor.com/showroom/papercraft/racing/)
09:13:34	15371/15371	---M-Z	200	added ('OK')	text/javascript	etag:%223c0b-5330e01203540%22	https://global.yamaha-motor.com/showroom/papercraft/racing/js/modernizr-2.6.1.min.js	T:/Site%20Mirror/Yamaha/global.yamaha-motor.com/showroom/papercraft/racing/js/modernizr-2.6.1.min.js	(from https://global.yamaha-motor.com/showroom/papercraft/racing/)
09:13:34	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2025%20Sep%202018%2015:13:43%20GMT	http://www.yamaha-motor.co.jp/shared/img/identity.png	T:/Site%20Mirror/Yamaha/www.yamaha-motor.co.jp/shared/img/identity.70.delayed	(from https://global.yamaha-motor.com/showroom/papercraft/racing/)
09:13:35	7715/7715	---M--	200	added ('OK')	image/png	etag:%221600c3-1e23-5363ad14c60c0%22	https://www.yamaha-motor.co.jp/shared/img/identity.png	T:/Site%20Mirror/Yamaha/www.yamaha-motor.co.jp/shared/img/identity.png	(from https://global.yamaha-motor.com/showroom/papercraft/racing/)
09:13:36	641/641	---M--	200	added ('OK')	image/png	etag:%222a0-5330e00691a40%22	https://global.yamaha-motor.com/showroom/papercraft/racing/img/lg_001.png	T:/Site%20Mirror/Yamaha/global.yamaha-motor.com/showroom/papercraft/racing/img/lg_001.png	(from https://global.yamaha-motor.com/showroom/papercraft/racing/)
09:13:36	278490/278490	---M--	200	added ('OK')	image/jpeg	etag:%2245774-5330e00691a40%22	https://global.yamaha-motor.com/showroom/papercraft/racing/img/main_001.jpg	T:/Site%20Mirror/Yamaha/global.yamaha-motor.com/showroom/papercraft/racing/img/main_001.jpg	(from https://global.yamaha-motor.com/showroom/papercraft/racing/)
09:13:36	770/770	---M--	200	added ('OK')	image/png	etag:%22324-5330e002c1140%22	https://global.yamaha-motor.com/showroom/papercraft/racing/img/ar_001.png	T:/Site%20Mirror/Yamaha/global.yamaha-motor.com/showroom/papercraft/racing/img/ar_001.png	(from https://global.yamaha-motor.com/showroom/papercraft/racing/)
